Term,Definition
"What factors increase the likelihood of fragmentation?","The stability of the carbocation formed and the stability of the radical ejected."
"Why is the peak at M − 57 small in the spectrum of pentane?","The carbocation corresponding to M − 57 is a methyl carbocation, which is less stable."
"What is the most abundant peak expected in the spectrum of a compound with a tertiary carbocation?","The most abundant peak is expected at M − 43, corresponding with formation of a tertiary carbocation via loss of a propyl radical."
"What determines the most abundant peak in a mass spectrum?","The most abundant peak generally results from the formation of the most stable carbocation via expulsion of the most stable possible radical."
"Why do alcohols typically not exhibit a molecular ion peak in mass spectrometry?","Because alcohols readily undergo fragmentation."
"What are the two common fragmentation patterns observed for alcohols?","Alpha cleavage and dehydration."
"What occurs during alpha cleavage of an alcohol?","A bond to the alpha position of the alcohol is cleaved to form a resonance-stabilized cation and a radical."
"What is the result of dehydration fragmentation in alcohols?","Loss of a water molecule, producing a new radical cation and a peak at M − 18."
"Why does the mass spectrum of an alcohol show a peak at M − 18?","Because of the loss of a neutral water molecule, which has a molecular weight of 18."
"What type of cleavage do amines undergo in mass spectrometry?","Alpha cleavage to generate a resonance-stabilized cation and a radical."
"What is the McLafferty rearrangement?","A fragmentation process in aldehydes and ketones with a gamma hydrogen, resulting in the loss of a neutral alkene fragment."
"What is characteristic about the mass of alkene fragments in the McLafferty rearrangement?","The alkene fragment has an even mass."
"What are some common mass losses in mass spectrometry and their corresponding fragments?","M − 15 for loss of a methyl radical, M − 29 for loss of an ethyl radical, M − 43 for loss of a propyl radical, M − 57 for loss of a butyl radical, M − 18 for loss of water from an alcohol, and M − x (even number) for McLafferty rearrangement."
"What is the relative atomic weight of Hydrogen (H)?","1"
"How many protons and neutrons does Helium (He) have?","2 protons and 2 neutrons"
"What is the relative atomic weight of Carbon (C)?","12"
"What is high-resolution mass spectrometry used for?","It is used to determine the molecular formula of an unknown compound by measuring m/z values to at least four decimal places."
"Why are atomic masses not whole numbers?","Because protons and neutrons have slightly different masses, and the mass of electrons is negligible."
"What is the mass of one proton?","1.6726 × 10^-24 g"
"What is the mass of one neutron?","1.6749 × 10^-24 g"
"Why is a helium atom not exactly four times the weight of a hydrogen atom?","Because atomic masses are not whole numbers due to the conversion of some mass into potential energy when protons bind together in the nucleus."
"What is the atomic mass unit (amu) equivalent to?","1 amu is equivalent to 1 g divided by Avogadro’s number, which is 1.6605 × 10^-24 g."
"How was Avogadro’s number redefined in 2018?","Avogadro’s number was redefined as exactly 6.02214076 × 10^23."
"What is unique about the atomic mass of 12C?","12C is the only element with an atomic mass that is a whole number, exactly 12 amu."
"What does high-resolution mass spectrometry measure?","It measures m/z values to four decimal places, allowing for precise measurement of isotopes."
"What are the m/z values for 12C, 13C, and 14C in high-resolution mass spectrometry?","12C is 12.0000 amu, 13C is 13.0034 amu, and 14C is 14.0032 amu."
"Why are the values on the periodic table irrelevant in high-resolution mass spectrometry?","Because each molecular ion passes through the spectrometer individually, and the detector measures based on specific isotopes present."
"What is the standard atomic weight of carbon and why?","The standard atomic weight of carbon is 12.011 g/mol, which is a weighted average of the various isotopes based on their abundance in nature."
"What is the relative atomic mass and natural abundance of 1H?","The relative atomic mass of 1H is 1.0078 amu with a natural abundance of 99.99%."
"What is the natural abundance of 13C?","The natural abundance of 13C is 1.07%."
"What is mass spectrometry ideally suited for?","Analyzing pure compounds."
"What is the purpose of gas chromatography in GC-MS?","To separate a mixture of compounds before analyzing them with a mass spectrometer."
"What does GC-MS stand for?","Gas Chromatography–Mass Spectrometry."
"How does high-resolution mass spectrometry differentiate compounds with the same molecular weight?","By measuring the molecular ion peaks to four decimal places, allowing differentiation based on slight mass differences."
"What is the role of the gas chromatograph in GC-MS?","To separate compounds in a mixture before they are analyzed by the mass spectrometer."
"What is the stationary phase in gas chromatography?","A long, narrow tube containing a viscous, high-boiling liquid on a solid support."
"How are compounds carried through the gas chromatography tube?","They are vaporized, mixed with an inert gas, and carried through the tube."
"What medical application allows mass spectrometry to detect metabolic abnormalities in newborns?","Mass spectrometry can analyze a single drop of a newborn's blood to reveal approximately 30 genetic abnormalities of metabolism."
"How does mass spectrometry help in diagnosing phenylketonuria (PKU) in newborns?","Mass spectrometry measures blood levels of phenylalanine, providing rapid and reliable results, replacing the older Guthrie test."
"What role does mass spectrometry play in drug analysis?","Mass spectrometry assesses drug purity, characterizes designer drugs, and measures blood or urine levels of drugs and their metabolites."
"How does mass spectrometry assist in identifying pathogenic bacteria?","Mass spectrometry can rapidly identify bacterial strains, allowing for effective drug administration against specific infections."
"What is electrospray ionization (ESI) and its significance in mass spectrometry?","ESI is a technique used for large molecules like proteins and nucleic acids, producing gas-phase molecular ions without fragmentation, expanding the scope of mass spectrometry."
"Who shared the 2002 Nobel Prize in Chemistry for the development of electrospray ionization?","Dr. John Fenn from Yale University shared the 2002 Nobel Prize in Chemistry for the development of electrospray ionization."
"What is the purpose of a chromatogram in mass spectrometry?","A chromatogram identifies the retention time of each compound in a mixture, which helps in separating and identifying compounds during analysis."
"How is GC-MS analysis used in drug screening?","GC-MS analysis separates organic compounds in urine based on retention time and verifies their identity via mass spectrometry, used for testing drugs like marijuana and steroids."
